% Moku:Go Logic Analyzer
% Pin 1 - A0 - Output 1
% Pin 2 - B0 - Output 1
% Pin 8 - C in - Output 1
% Pin 3 - S0 - Input
% Pin 4 - A1 - Output 1
% Pin 5 - B1 - Output 1
% Pin 6 - S1 - Input
% Pin 7 - C1 - Input
% Time span 28.94 ms, time offset -10.62 us
% Basic trigger, Auto mode, Pin 1, Rising edge
% Pattern Generator 1: 10 values, divider 200,000, baud rate 625
% Pattern Generator 2: 8 values, divider 125, baud rate 1,000,000
% 
% Acquired 2025-10-24 T 15:17:15 +0530
% Time (s), Pin 1 - A0, Pin 2 - B0, Pin 8 - C in, Pin 3 - S0, Pin 4 - A1, Pin 5 - B1, Pin 6 - S1, Pin 7 - C1
-1.219312000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.216480000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.213648000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.210816000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.207984000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.205152000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.202320000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.199488000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.196656000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.193824000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.190992000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.188160000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.185328000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.182496000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.179664000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.176832000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.174000000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.171168000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.168336000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.165504000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.162672000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.159840000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.157008000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.154176000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.151344000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.148512000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.145680000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.142848000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.140016000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.137184000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.134352000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.131520000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.128688000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.125856000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.123024000000e-02, 0, 1, 1, 0, 0, 1, 0, 1
-1.120192000000e-02, 0, 0.5, 1, 0, 0.5, 0.5, 0.5, 0.5
-1.117360000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.114528000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.111696000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.108864000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.106032000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.103200000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.100368000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.097536000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.094704000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.091872000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.089040000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.086208000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.083376000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.080544000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.077712000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.074880000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.072048000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.069216000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.066384000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.063552000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.060720000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.057888000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.055056000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.052224000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.049392000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.046560000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.043728000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.040896000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.038064000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.035232000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.032400000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.029568000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.026736000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.023904000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.021072000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.018240000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.015408000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.012576000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.009744000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.006912000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.004080000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-1.001248000000e-02, 0, 0, 1, 0, 1, 0, 1, 0
-9.984160000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.955840000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.927520000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.899200000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.870880000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.842560000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.814240000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.785920000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.757600000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.729280000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.700960000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.672640000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.644320000000e-03, 0, 0, 1, 0, 1, 0, 1, 0
-9.616000000000e-03, 0, 0.5, 0.5, 0, 0.5, 0.5, 0.5, 0.5
-9.587680000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.559360000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.531040000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.502720000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.474400000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.446080000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.417760000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.389440000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.361120000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.332800000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.304480000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.276160000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.247840000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.219520000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.191200000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.162880000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.134560000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.106240000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.077920000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.049600000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-9.021280000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.992960000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.964640000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.936320000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.908000000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.879680000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.851360000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.823040000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.794720000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.766400000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.738080000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.709760000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.681440000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.653120000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.624800000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.596480000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.568160000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.539840000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.511520000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.483200000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.454880000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.426560000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.398240000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.369920000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.341600000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.313280000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.284960000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.256640000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.228320000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.200000000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.171680000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.143360000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.115040000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.086720000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.058400000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.030080000000e-03, 0, 1, 0, 0, 0, 1, 0, 1
-8.001760000000e-03, 0, 0.5, 0, 0, 0, 0.5, 0.5, 0.5
-7.973440000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.945120000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.916800000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.888480000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.860160000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.831840000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.803520000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.775200000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.746880000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.718560000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.690240000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.661920000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.633600000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.605280000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.576960000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.548640000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.520320000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.492000000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.463680000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.435360000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.407040000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.378720000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.350400000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.322080000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.293760000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
-7.265440000000e-03, 0, 0, 0, 0, 0, 0, 0, 0
